what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307223116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307236791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1477307236824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307239221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307464543
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477307467727
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477307469439
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477307472789
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477307473016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477307473083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307483304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307485922
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477307485950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477307485980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307487280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307496354
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1477307496366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477307496989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1477307497777
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1477307498191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1477307498667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477307506991
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477307511289
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1477307514851
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1477307520345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307520629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307523935
opened,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1477307524366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477307529902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307531857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307550543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307551208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307552005
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307552218
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1477307552492
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1477307552494
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1477307552495
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1477307552496
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1477307552496
